155 ; 662
798 ; 653
221 ; 4
316 ; 949
525 ; 104
246 ; 223
73 ; 482
498 ; 276
377 ; 61
77 ; 797
719 ; 334
603 ; 515
509 ; 519
297 ; 151
864 ; 640
743 ; 10
170 ; 462
230 ; 752
918 ; 502
96 ; 674
38 ; 249
834 ; 804
97 ; 778
422 ; 936
273 ; 569
830 ; 520
905 ; 873
132 ; 405
661 ; 423
6 ; 250
200 ; 492
99 ; 821
956 ; 90
770 ; 369
499 ; 642
550 ; 255
913 ; 307
841 ; 565
181 ; 541
182 ; 362
893 ; 142
602 ; 706
562 ; 882
699 ; 653
587 ; 244
265 ; 424
810 ; 357
926 ; 676
318 ; 918
116 ; 864
808 ; 506
58 ; 993
310 ; 169
170 ; 842
258 ; 998
556 ; 428
208 ; 596
878 ; 457
143 ; 280
950 ; 545
162 ; 591
347 ; 573
564 ; 882
537 ; 394
133 ; 180
414 ; 649
461 ; 916
9 ; 639
686 ; 282
20 ; 143
257 ; 74
447 ; 109
76 ; 13
365 ; 209
667 ; 294
759 ; 254
99 ; 473
905 ; 715
674 ; 290
201 ; 794
681 ; 788
514 ; 163
176 ; 631
906 ; 655
867 ; 446
410 ; 385
418 ; 669
782 ; 989
975 ; 608
277 ; 444
666 ; 541
294 ; 400
710 ; 554
260 ; 200
232 ; 763
365 ; 542
457 ; 120
255 ; 283
453 ; 294
479 ; 912
799 ; 428
803 ; 905
583 ; 283
245 ; 726
228 ; 494
361 ; 460
263 ; 547
352 ; 932
589 ; 942
344 ; 46
78 ; 308
971 ; 354
264 ; 136
261 ; 883
633 ; 855
262 ; 333
584 ; 856
509 ; 97
33 ; 136
767 ; 857
306 ; 103
61 ; 350
435 ; 92
598 ; 770
420 ; 570
845 ; 399
182 ; 596
73 ; 622
678 ; 358
920 ; 846
978 ; 748
288 ; 419
188 ; 704
5 ; 97
581 ; 595
287 ; 318
59 ; 567
658 ; 436
674 ; 851
580 ; 269
36 ; 294
109 ; 576
697 ; 753
555 ; 806
22 ; 836
613 ; 695
679 ; 975
821 ; 951
473 ; 792
241 ; 334
563 ; 490
676 ; 985
303 ; 880
325 ; 838
470 ; 207
267 ; 329
26 ; 119
370 ; 373
795 ; 536
917 ; 147
108 ; 375
278 ; 493
749 ; 587
15 ; 497
462 ; 789
250 ; 474
355 ; 944
934 ; 103
585 ; 555
983 ; 958
403 ; 615
248 ; 512
532 ; 11
976 ; 15
624 ; 127
374 ; 63
966 ; 224
147 ; 697
845 ; 936
446 ; 963
312 ; 69
461 ; 755
576 ; 839
375 ; 31
122 ; 866
999 ; 939
261 ; 963
990 ; 574
864 ; 669
414 ; 445
724 ; 71
990 ; 328
323 ; 66
657 ; 773
680 ; 786
917 ; 811
261 ; 511
568 ; 695
678 ; 513
572 ; 184
274 ; 739
61 ; 762
376 ; 208
586 ; 25
654 ; 750
788 ; 666
325 ; 836
997 ; 682
50 ; 105
209 ; 907
953 ; 439
778 ; 442
150 ; 131
848 ; 323
50 ; 707
591 ; 391
436 ; 386
736 ; 196
244 ; 770
570 ; 331
578 ; 587
821 ; 990
239 ; 407
394 ; 135
455 ; 802
303 ; 217
600 ; 91
951 ; 450
89 ; 309
905 ; 907
958 ; 441
230 ; 633
291 ; 361
403 ; 184
849 ; 769
890 ; 277
445 ; 785
885 ; 216
439 ; 856
59 ; 582
39 ; 509
299 ; 653
618 ; 20
551 ; 573
610 ; 563
323 ; 939
341 ; 726
398 ; 525
39 ; 877
371 ; 426
497 ; 407
455 ; 935
787 ; 951
992 ; 390
325 ; 890
408 ; 716
184 ; 383
588 ; 947
809 ; 887
26 ; 397
627 ; 202
708 ; 814
960 ; 104
927 ; 134
115 ; 791
813 ; 635
766 ; 228
184 ; 845
70 ; 364
711 ; 458
732 ; 76
812 ; 114
629 ; 105
175 ; 595
964 ; 604
936 ; 179
198 ; 630
453 ; 652
517 ; 549
260 ; 543
377 ; 209
56 ; 440
494 ; 647
1 ; 348
900 ; 387
676 ; 698
742 ; 537
821 ; 592
115 ; 308
340 ; 302
914 ; 984
930 ; 374
623 ; 505
146 ; 257
920 ; 361
441 ; 89
333 ; 260
536 ; 116
166 ; 706
240 ; 13
293 ; 806
548 ; 170
852 ; 282
557 ; 972
503 ; 825
45 ; 452
213 ; 242
911 ; 539
947 ; 648
240 ; 448
931 ; 169
123 ; 182
349 ; 292
974 ; 713
695 ; 797
587 ; 822
987 ; 620
627 ; 780
757 ; 651
592 ; 243
489 ; 935
781 ; 703
317 ; 328
516 ; 80
851 ; 164
23 ; 428
803 ; 407
781 ; 641
546 ; 430
48 ; 492
667 ; 843
620 ; 891
660 ; 740
885 ; 963
699 ; 617
107 ; 735
409 ; 494
3 ; 733
940 ; 674
499 ; 397
431 ; 989
447 ; 736
336 ; 58
518 ; 902
187 ; 473
808 ; 301
620 ; 700
232 ; 207
796 ; 456
956 ; 770
320 ; 605
930 ; 454
927 ; 113
715 ; 192
181 ; 170
163 ; 78
891 ; 819
170 ; 339
408 ; 899
574 ; 851
279 ; 688
187 ; 324
499 ; 984
709 ; 740
559 ; 462
255 ; 318
254 ; 457
404 ; 961
297 ; 442
715 ; 606
108 ; 155
1 ; 492
148 ; 835
154 ; 199
573 ; 894
287 ; 964
835 ; 800
713 ; 283
5 ; 373
649 ; 978
542 ; 492
319 ; 413
104 ; 544
108 ; 521
672 ; 379
463 ; 19
955 ; 615
181 ; 339
344 ; 946
333 ; 240
